Station Name,State,District,Month,Year,Temperature (in °C)
CONTAI,West Bengal,PURBA MEDNAPUR,Jun,2010,28.02
MYSORE,Karnataka,MYSORE,Jun,2010,20.83
MADURAI(A),Tamil Nadu,MADURAI,Jun,2010,26.47
PATIALA,Punjab,PATIALA,Jun,2010,25.47
RAISEN,Madhya Pradesh,RAISEN,Jun,2010,26.98
NADYAL,Andhra Pradesh,KURNOOL,Jun,2010,26.61
KHAJURAHO(A),Madhya Pradesh,CHHATARPUR,Jun,2010,29.33
SAGAR,Madhya Pradesh,SAGAR,Jun,2010,26.61
KOCHI (NAS),Kerala,ERNAKULAM,Jun,2010,23.97
ALIGARH,Uttar Pradesh,ALIGARH,Jun,2010,28.19
MUMBAI (SANTACRUZ (A)),Maharashtra,GREATER MUMBAI,Jun,2010,26.12
CUDDALORE,Tamil Nadu,CUDDALORE,Jun,2010,25.38
UDGIR,Maharashtra,LATUR,Jun,2010,19.99
RAJKOT(A),Gujarat,RAJKOT,Jun,2010,26.55
KOZHIKODE (AIRPORT) / KARIPUR,Kerala,MALAPPURAM,Jun,2010,24.19
NADIGAMA,Andhra Pradesh,KRISHNA,Jun,2010,24.74
CHANDRAPUR,Maharashtra,CHANDRAPUR,Jun,2010,28.64
GULBARGA,Karnataka,GULBARGA,Jun,2010,24.05
MACHILIPATNAM(CDR),Andhra Pradesh,KRISHNA,Jun,2010,26.97
SRIGANGANAGAR,Rajasthan,SRIGANGANAGAR,Jun,2010,27.57
KOTA(A),Rajasthan,KOTA,Jun,2010,30.29
KORAPUT,Odisha,KORAPUT,Jun,2010,21.42
BALEHONNUR,Karnataka,CHIKMAGALUR,Jun,2010,20.12
MUZAFFARNAGAR,Uttar Pradesh,MUZAFFAR NAGAR,Jun,2010,24.29
MINICOY,Lakshadweep,LAKSHADWEEP,Jun,2010,25.70
CHIKMAGALUR,Karnataka,CHIKMAGALUR,Jun,2010,19.90
AMRELI,Gujarat,AMRELI,Jun,2010,27.04
TUNI,Andhra Pradesh,EAST GODAVARI,Jun,2010,26.21
SHILLONG (CSO),Meghalaya,EAST KHASI HILLS,Jun,2010,16.67
RAMGUNDAM,Telangana,PEDDAPALLE,Jun,2010,27.42
PORBANDAR(A),Gujarat,JAMNAGAR,Jun,2010,28.66
JAISALMER,Rajasthan,JAISALMER,Jun,2010,27.49
JALPAIGURI,West Bengal,JALPAIGURI,Jun,2010,24.22
BANKURA 1,West Bengal,BANKURA,Jun,2010,24.80
HOSHANGABAD,Madhya Pradesh,HOSHANGABAD,Jun,2010,27.94
BHAUNAGAR(A),Gujarat,BHAVNAGAR,Jun,2010,27.13
SALEM,Tamil Nadu,SALEM,Jun,2010,24.59
VALLABH VIDYANAGAR,Gujarat,KAIRA KHEDA,Jun,2010,28.00
KOTTAYAM,Kerala,KOTTAYAM,Jun,2010,23.53
ORAI,Uttar Pradesh,JALAUN,Jun,2010,28.93
CHURU,Rajasthan,CHURU,Jun,2010,28.90
KOLKATA /DUM DUM(A),West Bengal,NORTH 24 PARGANAS,Jun,2010,27.40
RAJGARH,Madhya Pradesh,RAJGARH,Jun,2010,29.12
